,,,,,,,,,,,,2.99,,3.68,,,1.77,,,,,0.5,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.94,,5.79,,,2.45,,,,,1.32,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.26,,4.85,,,1.78,,,,,-1.03,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.58,,0.61,,,-0.72,,,,,-1.25,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.37,,5.59,,,2.89,,,,,-0.8,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.95,,6.0,,,2.41,,,,,1.08,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.42,,1.54,,,0.59,,,,,1.06,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.88,,2.88,,,0.11,,,,,0.11,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.76,,6.42,,,-0.48,,,,,-0.02,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.09,,2.71,,,-0.44,,,,,0.58,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.84,,0.24,,,-0.7,,,,,0.42,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.07,,2.06,,,0.73,,,,,-0.03,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.22,,1.68,,,-0.25,,,,,1.1,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.65,,5.76,,,2.26,,,,,-1.23,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.25,,2.54,,,2.03,,,,,-0.37,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.43,,-0.92,,,2.35,,,,,0.17,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.56,,5.84,,,2.93,,,,,-0.09,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.8,,0.75,,,0.85,,,,,0.03,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.97,,1.6,,,-0.58,,,,,-0.53,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,5.31,,2.9,,,1.41,,,,,-0.89,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.35,,2.09,,,0.04,,,,,-0.16,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.06,,3.99,,,2.05,,,,,2.12,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.41,,3.66,,,2.45,,,,,0.76,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.81,,1.99,,,-0.23,,,,,0.1,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.68,,3.9,,,2.94,,,,,-0.5,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.78,,2.53,,,1.55,,,,,-1.44,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.24,,-1.48,,,-0.03,,,,,-0.95,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.6,,4.03,,,0.93,,,,,1.92,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.45,,0.45,,,-1.13,,,,,2.0,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.47,,4.48,,,1.04,,,,,0.84,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.99,,4.76,,,2.18,,,,,-0.93,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,5.41,,5.84,,,2.39,,,,,-1.5,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.27,,3.34,,,0.6,,,,,-0.57,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.72,,1.24,,,0.64,,,,,0.07,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.18,,5.72,,,3.52,,,,,-0.96,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.66,,1.43,,,0.59,,,,,0.94,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.64,,2.73,,,-0.25,,,,,0.46,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.48,,5.67,,,1.56,,,,,-0.63,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.78,,6.06,,,3.64,,,,,0.85,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.68,,1.78,,,0.58,,,,,-0.45,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.56,,4.7,,,0.83,,,,,1.48,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,5.21,,3.17,,,2.01,,,,,-1.33,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.1,,5.71,,,2.01,,,,,-0.59,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.55,,3.34,,,0.51,,,,,1.76,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.19,,1.1,,,0.22,,,,,-0.61,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.91,,2.12,,,-0.46,,,,,-0.99,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.85,,5.03,,,2.51,,,,,-0.2,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,-0.11,,0.58,,,0.57,,,,,-0.8,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.33,,1.22,,,0.03,,,,,-0.29,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.23,,3.47,,,1.36,,,,,0.35,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.74,,4.41,,,3.24,,,,,0.13,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.06,,2.22,,,1.7,,,,,0.34,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.13,,0.55,,,-0.22,,,,,0.34,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.47,,3.65,,,0.4,,,,,-1.6,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.26,,6.28,,,1.46,,,,,-0.54,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.72,,2.69,,,-0.46,,,,,0.54,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.48,,4.33,,,2.57,,,,,1.19,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.18,,4.92,,,4.05,,,,,0.13,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.25,,0.45,,,1.3,,,,,1.82,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.98,,1.53,,,1.17,,,,,-0.53,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.45,,3.78,,,2.05,,,,,-0.37,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.3,,2.2,,,1.48,,,,,-1.46,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.94,,1.27,,,-2.61,,,,,1.09,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.44,,6.58,,,1.32,,,,,0.27,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.67,,7.67,,,3.62,,,,,-0.79,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.46,,4.29,,,1.58,,,,,-1.09,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.45,,-0.27,,,0.68,,,,,-0.14,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.87,,3.73,,,3.72,,,,,-0.41,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,5.82,,1.13,,,0.37,,,,,0.81,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.32,,0.98,,,-0.65,,,,,-1.95,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.08,,7.18,,,3.33,,,,,0.35,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,5.84,,4.4,,,2.38,,,,,0.83,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,-0.0,,-0.08,,,-0.34,,,,,1.0,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.37,,1.06,,,-0.78,,,,,-0.24,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.82,,0.81,,,0.33,,,,,0.53,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,-0.78,,-0.15,,,0.62,,,,,-0.96,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.13,,5.02,,,3.63,,,,,0.34,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.29,,2.6,,,-0.64,,,,,1.89,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.28,,2.7,,,3.88,,,,,0.45,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.61,,4.24,,,0.86,,,,,0.84,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.55,,2.69,,,0.2,,,,,-0.03,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,5.16,,1.3,,,0.71,,,,,0.61,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.84,,2.57,,,2.04,,,,,-0.98,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.02,,0.91,,,-0.22,,,,,1.28,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.95,,1.94,,,0.01,,,,,1.13,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.54,,4.51,,,1.7,,,,,0.96,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.39,,4.4,,,1.6,,,,,-1.98,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.48,,-0.42,,,0.23,,,,,1.16,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.64,,2.03,,,0.96,,,,,1.5,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,-0.36,,1.05,,,-0.57,,,,,0.51,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.15,,6.44,,,1.91,,,,,-0.65,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.95,,3.3,,,0.41,,,,,1.03,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.23,,0.74,,,-0.14,,,,,-1.01,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.04,,3.13,,,1.52,,,,,-0.34,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.3,,1.08,,,-0.88,,,,,-1.74,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.18,,5.4,,,4.26,,,,,-0.93,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.64,,4.15,,,1.95,,,,,0.93,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.0,,0.13,,,-0.26,,,,,-0.72,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.24,,4.9,,,3.11,,,,,-0.29,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.36,,2.16,,,-0.95,,,,,-1.23,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.82,,1.72,,,-1.3,,,,,-0.45,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.1,,0.47,,,1.07,,,,,1.65,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.46,,1.08,,,-0.28,,,,,0.62,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,-0.7,,1.75,,,1.88,,,,,1.29,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.17,,0.66,,,-1.75,,,,,0.6,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.67,,4.4,,,1.33,,,,,1.15,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.48,,3.01,,,0.56,,,,,0.62,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.7,,1.43,,,-0.2,,,,,0.26,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,0.81,,1.31,,,-0.23,,,,,0.36,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.56,,2.67,,,0.84,,,,,-0.16,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.14,,3.84,,,0.33,,,,,-2.0,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.59,,5.27,,,2.5,,,,,0.52,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.7,,3.18,,,-0.8,,,,,-0.04,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,0.28,,1.72,,,0.23,,,,,1.17,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.99,,2.8,,,0.44,,,,,1.25,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,-0.21,,1.14,,,2.41,,,,,0.73,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.59,,4.42,,,3.04,,,,,-0.61,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.43,,5.48,,,0.91,,,,,-1.36,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.18,,2.53,,,2.47,,,,,1.41,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.13,,1.96,,,1.51,,,,,-0.13,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.49,,0.76,,,2.0,,,,,1.36,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.34,,0.69,,,1.79,,,,,-1.24,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,-0.97,,2.27,,,1.11,,,,,-1.46,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.39,,0.44,,,-0.1,,,,,-0.98,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.81,,5.16,,,0.33,,,,,-0.69,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.55,,6.65,,,1.04,,,,,1.22,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.03,,0.19,,,0.33,,,,,-1.22,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.65,,1.68,,,1.48,,,,,1.39,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.94,,2.63,,,2.71,,,,,-0.4,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.21,,4.77,,,3.47,,,,,-0.51,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.1,,2.96,,,0.03,,,,,1.16,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.54,,2.06,,,0.73,,,,,-0.27,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.36,,-0.79,,,-0.07,,,,,-0.09,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.32,,4.88,,,2.96,,,,,0.44,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.52,,4.16,,,0.25,,,,,-0.28,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.97,,0.26,,,0.38,,,,,-0.34,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.55,,1.92,,,-1.05,,,,,1.09,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.34,,-0.17,,,-0.47,,,,,0.22,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.82,,-0.46,,,-1.57,,,,,-0.75,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,-0.09,,0.79,,,0.57,,,,,-0.23,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,6.16,,2.91,,,1.73,,,,,0.12,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.26,,2.03,,,1.66,,,,,0.77,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.5,,4.37,,,0.73,,,,,0.21,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.56,,5.7,,,1.91,,,,,-0.42,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.49,,2.16,,,0.58,,,,,-1.43,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.67,,4.6,,,1.64,,,,,0.99,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.16,,1.67,,,0.04,,,,,0.04,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.32,,1.82,,,0.73,,,,,-0.35,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.29,,0.39,,,0.15,,,,,-0.58,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.61,,2.65,,,3.12,,,,,-2.64,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,-0.35,,0.63,,,0.2,,,,,-0.52,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.42,,1.36,,,0.76,,,,,-0.86,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.27,,1.36,,,-0.11,,,,,1.28,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.74,,0.42,,,-0.32,,,,,-0.28,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.08,,1.98,,,0.78,,,,,0.67,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.35,,5.6,,,2.34,,,,,1.28,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.59,,5.0,,,1.72,,,,,0.42,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.0,,4.69,,,0.7,,,,,-0.06,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.1,,0.88,,,0.95,,,,,-0.82,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,0.16,,2.1,,,2.59,,,,,-0.12,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.04,,-0.07,,,-1.35,,,,,1.41,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.21,,5.86,,,2.1,,,,,0.86,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.89,,-1.58,,,-1.98,,,,,0.43,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,5.65,,0.93,,,0.8,,,,,1.1,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.38,,1.72,,,0.61,,,,,-0.36,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.08,,3.96,,,1.33,,,,,-0.39,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.62,,4.26,,,0.74,,,,,1.06,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.21,,-0.08,,,0.95,,,,,0.57,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.6,,6.15,,,2.29,,,,,-0.88,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.87,,5.99,,,3.29,,,,,0.01,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.19,,3.11,,,1.75,,,,,1.03,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.73,,3.11,,,2.38,,,,,-0.62,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.98,,5.57,,,2.85,,,,,-0.19,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.27,,4.4,,,3.11,,,,,0.81,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,5.37,,1.17,,,-0.12,,,,,-1.03,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,6.17,,1.33,,,3.42,,,,,0.1,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.64,,5.09,,,1.03,,,,,0.02,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.14,,4.38,,,2.24,,,,,-0.37,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.66,,1.07,,,-1.1,,,,,-0.75,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.01,,-0.33,,,-0.25,,,,,1.23,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.55,,0.62,,,0.88,,,,,-0.36,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.51,,2.3,,,-0.97,,,,,0.09,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.03,,2.85,,,-0.42,,,,,-1.23,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.79,,5.17,,,1.92,,,,,-0.15,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.6,,-0.65,,,-0.23,,,,,0.89,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.51,,6.04,,,3.83,,,,,0.2,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.74,,5.4,,,4.07,,,,,-0.05,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.53,,-0.84,,,0.33,,,,,0.85,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.23,,3.92,,,0.61,,,,,0.88,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,-0.18,,1.41,,,-0.22,,,,,-0.18,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,0.07,,2.79,,,-1.1,,,,,-0.76,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,5.89,,4.84,,,1.92,,,,,0.27,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.37,,1.76,,,0.45,,,,,0.17,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.38,,2.66,,,-0.39,,,,,1.47,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.97,,3.96,,,3.93,,,,,1.31,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.89,,3.84,,,1.79,,,,,0.19,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.54,,2.2,,,-0.34,,,,,-0.34,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.98,,2.38,,,1.2,,,,,1.0,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.78,,0.3,,,-0.61,,,,,-0.17,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.37,,3.47,,,1.9,,,,,1.13,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.01,,2.58,,,2.33,,,,,0.36,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.24,,3.39,,,-0.12,,,,,0.64,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.42,,2.77,,,-0.56,,,,,-0.08,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,-0.89,,0.46,,,0.18,,,,,-0.53,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,3.1,,3.08,,,-0.46,,,,,0.23,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.7,,-0.15,,,-0.58,,,,,-0.16,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.65,,3.15,,,1.18,,,,,0.33,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.51,,4.89,,,0.7,,,,,-0.35,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.04,,1.07,,,-0.18,,,,,-0.86,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,0.39,,3.27,,,2.72,,,,,-0.08,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.22,,3.07,,,1.07,,,,,-0.8,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.89,,0.82,,,0.26,,,,,-2.45,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.07,,4.98,,,0.47,,,,,0.66,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.0,,0.58,,,0.13,,,,,1.7,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,0.62,,-1.16,,,0.29,,,,,2.03,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.36,,3.02,,,1.19,,,,,-0.14,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.95,,-0.05,,,-3.63,,,,,0.3,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.84,,3.9,,,2.59,,,,,1.76,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.45,,4.74,,,1.16,,,,,-0.68,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.9,,5.47,,,0.5,,,,,-0.75,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,1.21,,-1.8,,,-0.44,,,,,0.13,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,4.34,,2.43,,,0.98,,,,,0.7,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.82,,1.36,,,1.2,,,,,1.06,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,5.24,,4.05,,,-0.2,,,,,-1.27,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.08,,1.82,,,1.23,,,,,0.76,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.95,,6.22,,,1.83,,,,,1.0,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.35,,-0.49,,,1.0,,,,,0.82,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.04,,3.55,,,2.21,,,,,-0.26,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.06,,0.85,,,-0.75,,,,,-0.09,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.62,,0.34,,,2.75,,,,,0.14,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.1,,7.15,,,3.02,,,,,0.35,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.19,,2.9,,,0.2,,,,,1.0,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.5,,5.37,,,2.23,,,,,-0.38,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.76,,2.97,,,0.58,,,,,-0.29,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.89,,0.06,,,3.03,,,,,-0.32,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.53,,2.68,,,1.96,,,,,1.94,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,-0.57,,0.14,,,1.65,,,,,-0.01,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,0.86,,-1.05,,,0.93,,,,,1.52,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,2.46,,2.44,,,0.91,,,,,0.82,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.11,,1.18,,,0.44,,,,,-0.43,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.46,,3.32,,,2.84,,,,,1.7,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,-0.39,,0.7,,,1.49,,,,,-1.55,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,-1.87,,1.24,,,-0.78,,,,,0.21,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.76,,3.45,,,0.51,,,,,0.28,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,2.44,,2.41,,,-1.65,,,,,-0.88,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,5.32,,4.42,,,1.73,,,,,-0.07,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,0.96,,0.5,,,2.02,,,,,1.17,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.44,,2.17,,,0.65,,,,,0.1,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,3.34,,3.81,,,2.11,,,,,0.48,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,4.45,,2.74,,,1.6,,,,,0.15,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,3.81,,3.68,,,1.77,,,,,0.16,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,2.23,,5.61,,,1.83,,,,,0.35,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,-0.69,,1.66,,,-0.72,,,,,-0.06,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,4.19,,1.8,,,-0.01,,,,,0.31,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,-0.31,,-0.22,,,2.44,,,,,-1.54,,,,,,,,,,,,,,,,,,0
